################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         3         52   0.0000000000000000E+00   2.9079757763292041E+03   1.0507646367597612E+01   1.7152077493593674E+02
         3         53   0.0000000000000000E+00   5.2933026477524461E+00   6.0480181678595191E-01   1.0124266546047995E+00
         3         54   0.0000000000000000E+00   6.8161583516782844E+00   7.7795676799034497E-01   1.2865492446739928E+00
         3         55   0.0000000000000000E+00   5.1206953001871322E-02   3.2242982861030692E-03   5.5335397941004578E-03
         3         56   0.0000000000000000E+00   1.5106511207230866E+04   5.1978318981574290E+01   8.4914831675831056E+02
         3         57   0.0000000000000000E+00   1.8500682534479618E+00   2.1583250448596977E-01   3.5687271676068677E-01
         3         58   0.0000000000000000E+00   1.8388331883644868E+00   1.8799585547679470E-01   3.2043158607552175E-01
         3         59   0.0000000000000000E+00   4.8104436867829572E+03   1.6595850672522758E+01   2.7123394117186172E+02
         3         60   0.0000000000000000E+00   4.2143895823095310E+00   4.8599737566769380E-01   8.1193097706440953E-01
         3         61   0.0000000000000000E+00   1.2440477881121809E-02   1.3142379321333031E-03   2.2128449814190882E-03
         3         62   0.0000000000000000E+00   5.1149891711776565E+00   5.6331241465240767E-01   9.4250247887921557E-01
         3         63   0.0000000000000000E+00   1.1537191525465234E+04   3.9358485489556436E+01   6.4350829174178523E+02
         3         64   0.0000000000000000E+00   1.5786475941949797E-02   8.6284599781363174E-04   1.5794310618087734E-03
